threshold,probability
0.0,0.0
11142.586872080341,0.0
22285.173744160682,0.0
33427.76061624102,0.0
44570.347488321364,0.0
55712.934360401705,0.0
66855.52123248205,0.0
77998.10810456239,0.0
89140.69497664273,0.0
100283.28184872307,0.0001
111425.86872080341,0.0003
122568.45559288375,0.0008
133711.0424649641,0.0026
144853.62933704443,0.0053
155996.21620912477,0.0116
167138.80308120511,0.0215
178281.38995328546,0.0398
189423.9768253658,0.0638
200566.56369744614,0.1006
211709.15056952648,0.1431
222851.73744160682,0.1917
233994.32431368716,0.249
245136.9111857675,0.3112
256279.49805784784,0.3712
267422.0849299282,0.4389
278564.6718020085,0.5064
289707.25867408887,0.5708
300849.8455461692,0.6296
311992.43241824955,0.683
323135.0192903299,0.7298
334277.60616241023,0.7718
345420.19303449057,0.811
356562.7799065709,0.8451
367705.36677865125,0.8723
378847.9536507316,0.8966
389990.54052281193,0.9133
401133.1273948923,0.93
412275.7142669726,0.9447
423418.30113905296,0.9556
434560.8880111333,0.9649
445703.47488321364,0.9724
456846.061755294,0.9789
467988.6486273743,0.9827
479131.23549945466,0.9854
490273.822371535,0.9888
501416.40924361534,0.9912
512558.9961156957,0.9928
523701.582987776,0.9947
534844.1698598564,0.9954
545986.7567319367,0.9963
557129.343604017,0.9967
568271.9304760974,0.9974
579414.5173481777,0.9978
590557.1042202581,0.9985
601699.6910923384,0.9988
612842.2779644188,0.9991
623984.8648364991,0.9991
635127.4517085794,0.9993
646270.0385806598,0.9995
657412.6254527401,0.9995
668555.2123248205,0.9995
679697.7991969008,0.9998
690840.3860689811,0.9998
701982.9729410615,0.9998
713125.5598131418,0.9998
724268.1466852222,0.9998
735410.7335573025,0.9998
746553.3204293828,0.9999
757695.9073014632,0.9999
768838.4941735435,0.9999
779981.0810456239,0.9999
791123.6679177042,0.9999
802266.2547897846,0.9999
813408.8416618649,0.9999
824551.4285339452,0.9999
835694.0154060256,0.9999
846836.6022781059,0.9999
857979.1891501863,0.9999
869121.7760222666,0.9999
880264.3628943469,0.9999
891406.9497664273,0.9999
902549.5366385076,0.9999
913692.123510588,0.9999
924834.7103826683,0.9999
935977.2972547486,0.9999
947119.884126829,0.9999
958262.4709989093,0.9999
969405.0578709897,0.9999
980547.64474307,0.9999
991690.2316151503,0.9999
1002832.8184872307,1.0
1013975.405359311,1.0
1025117.9922313914,1.0
1036260.5791034717,1.0
1047403.165975552,1.0
1058545.7528476324,1.0
1069688.3397197127,1.0
1080830.926591793,1.0
1091973.5134638734,1.0
1103116.1003359538,1.0
